Variant	Adjectives
Adj_that	obvious
Adj_that	clear
Adj_that	surprising
Adj_that	unnatural
Adj_that	incredible
Adj_that	clear
Adj_that	surprising
Adj_that	important
Adj_that	likely
Adj_that	clear
Adj_that	revealing
Adj_that	evident
Adj_that	obvious
Adj_that	surprising
Adj_that	crucial
Adj_that	likely
Adj_that	true
Adj_that	conceivable
Adj_that	obvious
Adj_that	clear
Adj_that	true
Adj_that	clear
Adj_that	evident
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	apparent
Adj_that	implausible
Adj_that	reasonable
Adj_that	fitting
Adj_that	true
Adj_that	true
Adj_that	clear
Adj_that	appropriate
Adj_that	surprising
Adj_that	clear
Adj_that	possible
Adj_that	important
Adj_that	clear
Adj_that	obvious
Adj_that	clear
Adj_that	true
Adj_that	important
Adj_that	possible
Adj_that	unlikely
Adj_that	true
Adj_that	clear
Adj_that	arguable
Adj_that	arguable
Adj_that	arguable
Adj_that	clear
Adj_that	clear
Adj_that	arguable
Adj_that	clear
Adj_that	surprising
Adj_that	interesting
Adj_that	significant
Adj_that	surprising
Adj_that	possible
Adj_that	possible
Adj_that	curious
Adj_that	conceivable
Adj_that	possible
Adj_that	likely
Adj_that	possible
Adj_that	possible
Adj_that	possible
Adj_that	evident
Adj_that	possible
Adj_that	clear
Adj_that	necessary
Adj_that	conceivable
Adj_that	conceivable
Adj_that	clear
Adj_that	rare
Adj_that	clear
Adj_that	clear
Adj_that	obvious
Adj_that	surprising
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	true
Adj_that	noteworthy
Adj_that	possible
Adj_that	clear
Adj_that	incontrovertible
Adj_that	clear
Adj_that	clear
Adj_that	apparent
Adj_that	likely
Adj_that	possible
Adj_that	essential
Adj_that	inevitable
Adj_that	obvious
Adj_that	inevitable
Adj_that	true
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	true
Adj_that	obvious
Adj_that	symbolic
Adj_that	improbable
Adj_that	clear
Adj_that	clear
Adj_that	surprising
Adj_that	arguable
Adj_that	true
Adj_that	true
Adj_that	important
Adj_that	true
Adj_that	true
Adj_that	obvious
Adj_that	surprising
Adj_that	plausible
Adj_that	obvious
Adj_that	arguable
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	conceivable
Adj_that	clear
Adj_that	clear
Adj_that	significant
Adj_that	clear
Adj_that	accidental
Adj_that	natural
Adj_that	obvious
Adj_that	appropriate
Adj_that	crucial
Adj_that	true
Adj_that	clear
Adj_that	clear
Adj_that	certain
Adj_that	vital
Adj_that	unlikely
Adj_that	interesting
Adj_that	interesting
Adj_that	interesting
Adj_that	true
Adj_that	imperative
Adj_that	imperative
Adj_that	critical
Adj_that	paradoxical
Adj_that	true
Adj_that	foreseeable
Adj_that	possible
Adj_that	conceivable
Adj_that	obvious
Adj_that	surprising
Adj_that	important
Adj_that	evident
Adj_that	doubtful
Adj_that	clear
Adj_that	evident
Adj_that	understandable
Adj_that	possible
Adj_that	unfortunate
Adj_that	doubtful
Adj_that	true
Adj_that	surprising
Adj_that	apparent
Adj_that	likely
Adj_that	noteworthy
Adj_that	unlikely
Adj_that	certain
Adj_that	likely
Adj_that	likely
Adj_that	true
Adj_that	apparent
Adj_that	likely
Adj_that	apparent
Adj_that	clear
Adj_that	unlikely
Adj_that	unlikely
Adj_that	doubtful
Adj_that	true
Adj_that	imperative
Adj_that	doubtful
Adj_that	clear
Adj_that	unlikely
Adj_that	clear
Adj_that	plausible
Adj_that	conceivable
Adj_that	true
Adj_that	clear
Adj_that	surprising
Adj_that	clear
Adj_that	probable
Adj_that	unlikely
Adj_that	true
Adj_that	striking
Adj_that	likely
Adj_that	certain
Adj_that	strange
Adj_that	evident
Adj_that	improbable
Adj_that	axiomatic
Adj_that	improbable
Adj_that	probable
Adj_that	clear
Adj_that	evident
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	apparent
Adj_that	clear
Adj_that	indicative
Adj_that	surprising
Adj_that	surprising
Adj_that	apparent
Adj_that	probable
Adj_that	true
Adj_that	inevitable
Adj_that	evident
Adj_that	possible
Adj_that	unavoidable
Adj_that	surprising
Adj_that	probable
Adj_that	clear
Adj_that	conceivable
Adj_that	likely
Adj_that	possible
Adj_that	noteworthy
Adj_that	probable
Adj_that	noteworthy
Adj_that	noteworthy
Adj_that	ironic
Adj_that	apparent
Adj_that	conceivable
Adj_that	clear
Adj_that	apparent
Adj_that	true
Adj_that	possible
Adj_that	likely
Adj_that	possible
Adj_that	self-evident
Adj_that	unlikely
Adj_that	clear
Adj_that	unlikely
Adj_that	unlikely
Adj_that	clear
Adj_that	possible
Adj_that	significant
Adj_that	clear
Adj_that	obvious
Adj_that	clear
Adj_that	clear
Adj_that	noticeable
Adj_that	clear
Adj_that	surprising
Adj_that	surprising
Adj_that	obvious
Adj_that	proper
Adj_that	likely
Adj_that	likely
Adj_that	significant
Adj_that	arguable
Adj_that	arguable
Adj_that	unlikely
Adj_that	natural
Adj_that	natural
Adj_that	irrelevant
Adj_that	odd
Adj_that	certain
Adj_that	interesting
Adj_that	interesting
Adj_that	important
Adj_that	surprising
Adj_that	obvious
Adj_that	necessary
Adj_that	possible
Adj_that	true
Adj_that	surprising
Adj_that	true
Adj_that	significant
Adj_that	clear
Adj_that	true
Adj_that	true
Adj_that	true
Adj_that	clear
Adj_that	critical
Adj_that	plausible
Adj_that	evident
Adj_that	clear
Adj_that	imperative
Adj_that	clear
Adj_that	clear
Adj_that	possible
Adj_that	probable
Adj_that	unlikely
Adj_that	true
Adj_that	likely
Adj_that	true
Adj_that	well-known
Adj_that	evident
Adj_that	doubtful
Adj_that	clear
Adj_that	significant
Adj_that	likely
Adj_that	unlikely
Adj_that	informative
Adj_that	unlikely
Adj_that	doubtful
Adj_that	coincidental
Adj_that	fortunate
Adj_that	noteworthy
Adj_that	significant
Adj_that	evident
Adj_that	possible
Adj_that	clear
Adj_that	true
Adj_that	important
Adj_that	inevitable
Adj_that	obvious
Adj_that	true
Adj_that	obvious
Adj_that	evident
Adj_that	clear
Adj_that	probable
Adj_that	surprising
Adj_that	surprising
Adj_that	surprising
Adj_that	relevant
Adj_that	likely
Adj_that	certain
Adj_that	possible
Adj_that	doubtful
Adj_that	surprising
Adj_that	uncommon
Adj_that	significant
Adj_that	clear
Adj_that	clear
Adj_that	clear
Adj_that	possible
Adj_that	possible
Adj_that	clear
Adj_that	unlikely
