Variant	Adjectives	n
Adj_to	abstract	1
Adj_that	absurd	1
Adj_to	absurd	25
Other	absurd	1
Adj_that	acceptable	1
Adj_to	acceptable	48
Adj_that	accidental	15
Adj_that	accurate	1
Adj_to	accurate	34
Adj_to	adaptive	7
Adj_to	adequate	5
Adj_that	admirable	1
Adj_to	admirable	1
Other	admirable	1
Adj_that	admissible	1
Adj_to	advantageous	18
Adj_that	advisable	4
Adj_to	advisable	54
Other	advisable	1
Adj_that	alarming	8
Adj_to	alarming	4
Adj_that	altruistic	1
Adj_that	amazing	21
Adj_to	amazing	13
Other	amazing	54
Adj_to	ambiguous	2
Other	ambiguous	1
Adj_to	american	1
Adj_that	amusing	2
Adj_to	amusing	5
Adj_to	anachronistic	2
Other	annoying	1
Adj_to	answerable	2
Adj_to	anti-catholic	1
Adj_to	anti-social	1
Adj_to	anticlimactic	1
Adj_to	antithetical	1
Adj_to	appalling	1
Adj_that	apparent	610
Adj_to	apparent	1
Other	apparent	20
Adj_that	appropriate	46
Adj_to	appropriate	270
Other	appropriate	1
Adj_that	apt	3
Adj_to	apt	4
Adj_to	arbitrary	5
Adj_to	arduous	1
Adj_that	arguable	46
Other	arguable	4
Adj_to	artificial	1
Adj_that	astonishing	6
Adj_to	astonishing	3
Other	astonishing	4
Adj_to	attractive	3
Adj_to	atypical	2
Adj_to	audacious	1
Adj_to	automatic	1
Other	aware	1
Adj_to	awful	1
Adj_to	awkward	3
Other	awkward	2
Adj_that	axiomatic	21
Adj_to	axiomatic	3
Adj_that	bad	5
Adj_to	bad	13
Other	bad	3
Adj_to	barbaric	1
Adj_that	believable	1
Adj_to	beneficial	30
Other	beneficial	1
Adj_that	bizarre	4
Adj_to	bizarre	2
Adj_to	blasphemous	2
Adj_to	boring	2
Other	boring	1
Adj_to	brutal	1
Adj_to	careless	1
Adj_to	cathartic	1
Adj_that	certain	137
Adj_to	certain	6
Other	certain	25
Adj_to	challenging	2
Other	challenging	1
Adj_to	cheap	23
Adj_to	chic	1
Adj_to	chilling	1
Adj_that	clear	2826
Adj_to	clear	2
Other	clear	521
Adj_to	cogent	1
Adj_that	coincidental	12
Adj_to	comfortable	3
Adj_that	comforting	2
Adj_to	comforting	12
Adj_to	comic	1
Other	comical	1
Adj_that	commendable	4
Adj_to	commendable	2
Adj_that	common	12
Adj_to	common	187
Adj_that	commonplace	2
Adj_to	commonplace	22
Adj_that	compelling	1
Adj_to	compelling	2
Adj_that	conceivable	161
Adj_to	conceivable	2
Adj_that	conclusive	1
Adj_to	conducive	2
Other	confident	1
Adj_that	confusing	1
Adj_to	confusing	3
Other	confusing	1
Adj_to	conjectural	1
Other	conjectural	1
Adj_that	consequential	1
Adj_that	consistent	1
Adj_to	consistent	1
Adj_that	conspicuous	2
Adj_to	constitutional	3
Adj_to	contradictory	4
Adj_to	controversial	4
Other	controversial	4
Adj_that	convenient	1
Adj_to	convenient	23
Adj_to	conventional	6
Adj_that	convincing	1
Adj_that	cool	2
Adj_to	cool	5
Other	cool	1
Adj_that	correct	5
Adj_to	correct	27
Adj_to	cost-effective	12
Adj_to	costless	1
Adj_to	costly	15
Adj_that	counterintuitive	3
Adj_to	counterintuitive	2
Adj_to	counterproductive	11
Adj_that	crazy	1
Adj_to	crazy	1
Other	crazy	1
Adj_that	credible	3
Adj_to	credible	1
Adj_that	critical	170
Adj_to	critical	172
Adj_that	crucial	87
Adj_to	crucial	149
Adj_to	cruel	2
Adj_to	cumbersome	1
Adj_that	curious	34
Adj_to	curious	8
Other	curious	5
Adj_that	customary	1
Adj_to	customary	37
Adj_that	damnable	1
Adj_that	dangerous	1
Adj_to	dangerous	36
Adj_that	daunting	1
Adj_to	daunting	1
Other	daunting	1
Adj_that	debatable	1
Other	debatable	19
Adj_to	deceptive	1
Adj_that	decisive	2
Adj_to	defensible	1
Adj_that	definite	1
Adj_to	degrading	2
Adj_to	delightful	2
Adj_to	democratic	1
Adj_to	deplorable	1
