Adjectives	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	DeltaP_adj_given_con	DeltaP_con_given_adj	Coll_strength
clear	2826	2	1135.955	1692.045	Adj_that	0.178	0.644	1184.652
likely	1281	58	537.852	801.148	Adj_that	0.078	0.574	431.057
true	1084	13	440.645	656.355	Adj_that	0.068	0.603	412.37
unlikely	785	22	324.157	482.843	Adj_that	0.049	0.583	278.048
surprising	917	85	402.485	599.515	Adj_that	0.054	0.527	263.374
apparent	610	1	245.427	365.573	Adj_that	0.038	0.606	242.161
evident	504	0	202.447	301.553	Adj_that	0.032	0.606	201.751
obvious	477	1	192.004	285.996	Adj_that	0.03	0.604	188.372
noteworthy	238	3	96.805	144.195	Adj_that	0.015	0.589	89.037
probable	187	0	75.114	111.886	Adj_that	0.012	0.601	74.361
doubtful	162	0	65.072	96.928	Adj_that	0.01	0.601	64.386
conceivable	161	2	65.474	97.526	Adj_that	0.01	0.588	60.305
significant	230	34	106.044	157.956	Adj_that	0.013	0.473	56.1
certain	137	6	57.44	85.56	Adj_that	0.008	0.558	45.71
ironic	132	7	55.834	83.166	Adj_that	0.008	0.55	42.734
inevitable	105	1	42.578	63.422	Adj_that	0.007	0.59	39.876
imperative	315	134	180.355	268.645	Adj_that	0.014	0.303	37.47
notable	74	0	29.724	44.276	Adj_that	0.005	0.599	29.357
understandable	85	4	35.75	53.25	Adj_that	0.005	0.555	28.216
undeniable	53	0	21.289	31.711	Adj_that	0.003	0.599	21.017
unfortunate	64	4	27.314	40.686	Adj_that	0.004	0.54	20.345
remarkable	74	9	33.34	49.66	Adj_that	0.004	0.491	19.805
arguable	46	0	18.477	27.523	Adj_that	0.003	0.599	18.238
improbable	36	0	14.461	21.539	Adj_that	0.002	0.599	14.271
inconceivable	51	6	22.896	34.104	Adj_that	0.003	0.494	13.964
striking	63	13	30.528	45.472	Adj_that	0.003	0.428	13.633
plausible	131	70	80.738	120.262	Adj_that	0.005	0.251	12.182
possible	1908	2374	1720	2562	Adj_that	0.02	0.049	9.446
encouraging	20	0	8.034	11.966	Adj_that	0.001	0.599	7.925
curious	34	8	16.871	25.129	Adj_that	0.002	0.408	7.117
well-known	20	1	8.435	12.565	Adj_that	0.001	0.551	6.812
noticeable	17	0	6.829	10.171	Adj_that	0.001	0.599	6.736
self-evident	17	0	6.829	10.171	Adj_that	0.001	0.599	6.736
fitting	47	19	26.511	39.489	Adj_that	0.002	0.311	6.497
fortunate	18	1	7.632	11.368	Adj_that	0.001	0.546	6.062
accidental	15	0	6.025	8.975	Adj_that	0.001	0.599	5.943
axiomatic	21	3	9.64	14.36	Adj_that	0.001	0.474	5.644
coincidental	12	0	4.82	7.18	Adj_that	0.001	0.599	4.754
indisputable	12	0	4.82	7.18	Adj_that	0.001	0.599	4.754
paramount	12	0	4.82	7.18	Adj_that	0.001	0.599	4.754
regrettable	12	0	4.82	7.18	Adj_that	0.001	0.599	4.754
unclear	12	0	4.82	7.18	Adj_that	0.001	0.599	4.754
paradoxical	16	2	7.23	10.77	Adj_that	0.001	0.487	4.567
predictable	11	0	4.418	6.582	Adj_that	0.001	0.598	4.358
plain	16	3	7.632	11.368	Adj_that	0.001	0.441	3.97
critical	170	172	137.375	204.625	Adj_that	0.003	0.096	3.679
vital	86	75	64.671	96.329	Adj_that	0.002	0.133	3.347
revealing	7	0	2.812	4.188	Adj_that	0	0.598	2.773
untrue	7	0	2.812	4.188	Adj_that	0	0.598	2.773
well-established	7	0	2.812	4.188	Adj_that	0	0.598	2.773
essential	271	319	236.992	353.008	Adj_that	0.004	0.059	2.619
foreseeable	6	0	2.41	3.59	Adj_that	0	0.598	2.377
odd	25	16	16.469	24.531	Adj_that	0.001	0.208	2.246
puzzling	13	5	7.23	10.77	Adj_that	0.001	0.321	2.223
disappointing	9	2	4.418	6.582	Adj_that	0	0.417	2.213
amazing	21	13	13.657	20.343	Adj_that	0.001	0.216	2.05
fortuitous	5	0	2.008	2.992	Adj_that	0	0.598	1.981
indicative	5	0	2.008	2.992	Adj_that	0	0.598	1.981
intriguing	12	5	6.829	10.171	Adj_that	0.001	0.304	1.959
logical	74	77	60.654	90.346	Adj_that	0.001	0.089	1.771
unthinkable	11	5	6.427	9.573	Adj_that	0	0.286	1.704
gratifying	4	0	1.607	2.393	Adj_that	0	0.598	1.585
incontrovertible	4	0	1.607	2.393	Adj_that	0	0.598	1.585
promising	4	0	1.607	2.393	Adj_that	0	0.598	1.585
unquestionable	4	0	1.607	2.393	Adj_that	0	0.598	1.585
well-recognized	4	0	1.607	2.393	Adj_that	0	0.598	1.585
uncertain	5	1	2.41	3.59	Adj_that	0	0.432	1.38
strange	20	16	14.461	21.539	Adj_that	0.001	0.154	1.352
unavoidable	6	2	3.213	4.787	Adj_that	0	0.348	1.294
intuitive	7	3	4.017	5.983	Adj_that	0	0.298	1.252
alarming	8	4	4.82	7.18	Adj_that	0	0.265	1.231
incidental	3	0	1.205	1.795	Adj_that	0	0.598	1.188
inescapable	3	0	1.205	1.795	Adj_that	0	0.598	1.188
key	3	0	1.205	1.795	Adj_that	0	0.598	1.188
reassuring	3	0	1.205	1.795	Adj_that	0	0.598	1.188
unremarkable	3	0	1.205	1.795	Adj_that	0	0.598	1.188
unimaginable	4	1	2.008	2.992	Adj_that	0	0.398	1.054
worrisome	5	2	2.812	4.188	Adj_that	0	0.313	1.009
astonishing	6	3	3.615	5.385	Adj_that	0	0.265	0.995
urgent	9	7	6.427	9.573	Adj_that	0	0.161	0.837
conspicuous	2	0	0.803	1.197	Adj_that	0	0.598	0.792
decisive	2	0	0.803	1.197	Adj_that	0	0.598	0.792
incontestable	2	0	0.803	1.197	Adj_that	0	0.598	0.792
laudable	2	0	0.803	1.197	Adj_that	0	0.598	0.792
lucky	2	0	0.803	1.197	Adj_that	0	0.598	0.792
symptomatic	2	0	0.803	1.197	Adj_that	0	0.598	0.792
unmistakable	2	0	0.803	1.197	Adj_that	0	0.598	0.792
unprecedented	2	0	0.803	1.197	Adj_that	0	0.598	0.792
troubling	5	3	3.213	4.787	Adj_that	0	0.223	0.754
natural	65	82	59.047	87.953	Adj_that	0.001	0.041	0.748
credible	3	1	1.607	2.393	Adj_that	0	0.348	0.742
impressive	3	1	1.607	2.393	Adj_that	0	0.348	0.742
tenable	3	1	1.607	2.393	Adj_that	0	0.348	0.742
tragic	3	1	1.607	2.393	Adj_that	0	0.348	0.742
bizarre	4	2	2.41	3.59	Adj_that	0	0.265	0.741
commendable	4	2	2.41	3.59	Adj_that	0	0.265	0.741
funny	4	2	2.41	3.59	Adj_that	0	0.265	0.741
irrelevant	4	2	2.41	3.59	Adj_that	0	0.265	0.741
worthy	4	2	2.41	3.59	Adj_that	0	0.265	0.741
implausible	6	5	4.418	6.582	Adj_that	0	0.144	0.602
extraordinary	4	3	2.812	4.188	Adj_that	0	0.17	0.533
counterintuitive	3	2	2.008	2.992	Adj_that	0	0.198	0.494
dubious	3	2	2.008	2.992	Adj_that	0	0.198	0.494
insignificant	3	2	2.008	2.992	Adj_that	0	0.198	0.494
peculiar	3	2	2.008	2.992	Adj_that	0	0.198	0.494
miraculous	2	1	1.205	1.795	Adj_that	0	0.265	0.45
suggestive	2	1	1.205	1.795	Adj_that	0	0.265	0.45
admissible	1	0	0.402	0.598	Adj_that	0	0.598	0.396
altruistic	1	0	0.402	0.598	Adj_that	0	0.598	0.396
believable	1	0	0.402	0.598	Adj_that	0	0.598	0.396
