Adjectives	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	DeltaP_adj_given_con	DeltaP_con_given_adj	Coll_strength
clear	14	3	8.113	8.887	Adj_that	0.026	0.353	2.461
probable	11	2	6.204	6.796	Adj_that	0.021	0.374	2.16
evident	9	1	4.772	5.228	Adj_that	0.019	0.427	2.151
true	6	0	2.863	3.137	Adj_that	0.014	0.526	1.936
certain	4	0	1.909	2.091	Adj_that	0.009	0.525	1.288
correct	4	0	1.909	2.091	Adj_that	0.009	0.525	1.288
unbelievable	3	0	1.432	1.568	Adj_that	0.007	0.524	0.965
uncertain	3	0	1.432	1.568	Adj_that	0.007	0.524	0.965
unfortunate	3	0	1.432	1.568	Adj_that	0.007	0.524	0.965
false	4	1	2.386	2.614	Adj_that	0.007	0.325	0.797
unlikely	9	5	6.681	7.319	Adj_that	0.01	0.168	0.786
strange	5	2	3.341	3.659	Adj_that	0.007	0.239	0.721
obvious	15	11	12.408	13.592	Adj_that	0.012	0.103	0.694
arguable	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
awful	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
conclusive	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
convincing	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
dubious	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
fine	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
fitting	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
fortunate	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
insane	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
intuitive	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
noteworthy	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
okay	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
outstanding	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
sad	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
terrible	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
wonderful	2	0	0.954	1.046	Adj_that	0.005	0.524	0.643
interesting	11	8	9.068	9.932	Adj_that	0.009	0.104	0.597
likely	14	11	11.931	13.069	Adj_that	0.009	0.085	0.582
apparent	3	1	1.909	2.091	Adj_that	0.005	0.274	0.555
ridiculous	3	1	1.909	2.091	Adj_that	0.005	0.274	0.555
surprising	3	1	1.909	2.091	Adj_that	0.005	0.274	0.555
unclear	3	1	1.909	2.091	Adj_that	0.005	0.274	0.555
unusual	3	1	1.909	2.091	Adj_that	0.005	0.274	0.555
understandable	4	2	2.863	3.137	Adj_that	0.005	0.191	0.521
imperative	5	3	3.818	4.182	Adj_that	0.005	0.149	0.503
impossible	8	7	7.159	7.841	Adj_that	0.004	0.057	0.368
questionable	4	3	3.341	3.659	Adj_that	0.003	0.095	0.347
common	3	2	2.386	2.614	Adj_that	0.003	0.123	0.34
illogical	3	2	2.386	2.614	Adj_that	0.003	0.123	0.34
improbable	3	2	2.386	2.614	Adj_that	0.003	0.123	0.34
accurate	2	1	1.432	1.568	Adj_that	0.003	0.19	0.332
disappointing	2	1	1.432	1.568	Adj_that	0.003	0.19	0.332
fascinating	2	1	1.432	1.568	Adj_that	0.003	0.19	0.332
incorrect	2	1	1.432	1.568	Adj_that	0.003	0.19	0.332
natural	2	1	1.432	1.568	Adj_that	0.003	0.19	0.332
perfect	2	1	1.432	1.568	Adj_that	0.003	0.19	0.332
sure	2	1	1.432	1.568	Adj_that	0.003	0.19	0.332
aesthetic	1	0	0.477	0.523	Adj_that	0.002	0.523	0.321
affordable	1	0	0.477	0.523	Adj_that	0.002	0.523	0.321
