Adjectives	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	DeltaP_adj_given_con	DeltaP_con_given_adj	Coll_strength
correct	3	0	1.364	1.636	Adj_that	0.017	0.55	1.031
clear	4	1	2.273	2.727	Adj_that	0.018	0.35	0.872
convincing	2	0	0.909	1.091	Adj_that	0.011	0.548	0.686
true	2	0	0.909	1.091	Adj_that	0.011	0.548	0.686
unbelievable	2	0	0.909	1.091	Adj_that	0.011	0.548	0.686
unclear	2	0	0.909	1.091	Adj_that	0.011	0.548	0.686
wonderful	2	0	0.909	1.091	Adj_that	0.011	0.548	0.686
strange	3	1	1.818	2.182	Adj_that	0.012	0.299	0.608
unlikely	3	1	1.818	2.182	Adj_that	0.012	0.299	0.608
obvious	5	3	3.636	4.364	Adj_that	0.014	0.174	0.573
impossible	7	5	5.455	6.545	Adj_that	0.016	0.133	0.572
possible	8	7	6.818	8.182	Adj_that	0.012	0.082	0.447
likely	4	3	3.182	3.818	Adj_that	0.009	0.119	0.397
probable	3	2	2.273	2.727	Adj_that	0.008	0.147	0.382
perfect	2	1	1.364	1.636	Adj_that	0.007	0.214	0.365
unusual	2	1	1.364	1.636	Adj_that	0.007	0.214	0.365
accurate	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
aesthetic	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
affordable	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
alright	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
awful	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
brilliant	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
challenging	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
conclusive	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
counterintuitive	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
different	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
direct	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
efficient	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
evident	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
excellent	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
faithful	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
false	1	0	0.455	0.545	Adj_that	0.006	0.547	0.342
