Participant,AWEQ,AWE.1,AWE.2,AWE.3,AWE.4,AWE.5,AWE.6,AWE.7,AWE.8,AWE.9,AWE.10,AWE.11,AWE.12,AWE.13,AWE.14,AWE.15,AWE.16,AWE.17,AWE.18,AgeLearn,AgeFluent,AgeRead,AgeFluentRead,PrimInstruct,CounEng,FamEng,EnvEng,ForeignAccent,EngRead,EngWrite,EngSpeak,EngListen,EngProf,ThaiDaily,EngDaily,ThaiAcad,EngAcad
1,5,5,NA,NA,5,NA,5,NA,NA,5,5,NA,NA,NA,5,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3.25,4,5,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3.666666667,5,3,5,5,5,5,3,1,3,5,5,3,3,5,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3.181818182,4,NA,NA,5,2,3,NA,3,NA,4,4,NA,2,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,4,1,1,4,5,5,1,1,5,5,4,3,3,5,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2.833333333,5,3,3,2,2,2,1,1,2,4,5,4,2,5,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3.722222222,5,1,5,5,4,5,5,4,2,4,5,4,3,4,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1.833333333,2,2,2,3,1,1,1,1,1,4,3,1,1,3,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3.25,5,NA,2,5,5,3,NA,2,5,4,4,3,1,5,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5,5,5,5,5,5,5,5,NA,5,5,5,5,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2.933333333,5,3,4,4,2,2,3,NA,NA,4,4,3,2,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1.777777778,4,1,1,1,2,1,2,1,1,2,3,1,1,5,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2,5,1,1,5,1,1,1,1,2,4,4,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2.6875,5,2,3,NA,3,2,2,2,1,5,5,1,2,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3.8,5,NA,2,5,5,NA,3,NA,NA,3,4,NA,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5,5,5,5,5,5,5,NA,NA,NA,5,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3.277777778,5,5,2,5,5,2,1,3,4,5,5,1,4,5,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2.833333333,5,5,4,5,2,3,1,2,4,4,4,4,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
